trialId,trialNo,blockNo,cutNo,expCond,control,keyCode,reactionTime,segSize,segCenterX,segCenterY,segCentDist,intDiff,intStd,segNcut,segStab,leaf,correct,meanImgInt,meanSegInt,deltaInt,expTime,expType,participantID
129,1,5,2,2,1,1,0.18205933756417067,0.358974358974359,0.23529411764705882,0.17647058823529413,0.6537204504606143,0.2759472817133447,0.1914854215512677,,,1,1,0.506756756756757,0.225,0.7240527182866554,0.6,3,my
130,2,5,2,1,1,1,0.009714069473508455,0.5641025641025641,0.11764705882352941,0.7058823529411765,0.7453559924999296,0.18506315211422342,0.4212931553031851,,,1,1,0.513513513513514,0.11666666666666667,0.8149368478857767,0.3,3,my
131,3,5,5,2,0,1,0.18249421419059544,0.38461538461538464,0.5294117647058824,0.29411764705882354,0.27735009811261474,0.03953871499176269,0.0,,,1,0,0.7162162162162181,0.0,0.9604612850082374,0.6,3,my
132,4,5,5,2,1,1,0.2539354452849242,0.6666666666666666,0.35294117647058826,0.7058823529411765,0.4622501635210246,0.6773358437279365,0.5320255129074917,,,1,1,0.344594594594595,0.6642857142857338,0.3226641562720636,0.6,3,my
133,5,5,5,1,1,1,0.32552722375582843,0.28205128205128205,0.17647058823529413,0.5882352941176471,0.5847053462046867,0.06919275123558422,0.0,,,1,1,0.5945945945945982,0.0,0.9308072487644159,0.3,3,my
134,6,5,5,1,0,1,0.19633259747600498,0.358974358974359,0.8823529411764706,0.17647058823529413,0.7220578379655767,0.5107084019769362,0.0,,,1,0,0.81081081081081,0.6,0.4892915980230638,0.3,3,my
135,7,5,5,2,0,1,0.5121895473587835,0.3333333333333333,0.17647058823529413,0.17647058823529413,0.7220578379655767,0.2553542009884683,0.0,,,1,0,0.506756756756757,0.2,0.7446457990115318,0.6,3,my
136,8,5,2,1,0,1,0.4118233750805775,0.6923076923076923,0.8235294117647058,0.6470588235294118,0.5390716933750936,0.12520593080724868,0.0,,,1,0,0.3648648648648661,0.0,0.8747940691927514,0.3,3,my
137,9,5,5,1,1,1,0.02438080548320919,0.3076923076923077,0.23529411764705882,0.5294117647058824,0.47140452079103157,0.5799011532125202,0.39742762605123155,,,1,1,0.5270270270270281,0.6,0.4200988467874798,0.3,3,my
138,10,5,5,2,1,0,0.12485372953753217,0.1282051282051282,0.8235294117647058,0.11764705882352941,0.7220578379655767,0.26170863732642874,0.43424811867344704,,,1,0,0.7702702702702743,0.2857142857142662,0.7382913626735714,0.6,3,my
139,11,5,2,2,0,0,0.397388276738925,0.5897435897435898,0.8235294117647058,0.6470588235294118,0.5390716933750936,0.8566721581548595,0.0,,,1,1,0.7432432432432462,1.0,0.14332784184514052,0.6,3,my
